"Majority.protein.IDs","SampleID","value","Group","Protein"
"1001-18076_t_tx1","no_mineral_MPLEx_01",28.5912412824475,"No Mineral","1001-18076_t_tx1"
"1001-18076_t_tx1","no_mineral_MPLEx_02",28.7832290830297,"No Mineral","1001-18076_t_tx1"
"1001-18076_t_tx1","no_mineral_MPLEx_03",29.0085756144443,"No Mineral","1001-18076_t_tx1"
"1001-18076_t_tx1","mineral_MPLEx_01",28.8591145225345,"Mineral","1001-18076_t_tx1"
"1001-18076_t_tx1","mineral_MPLEx_02",29.5059818538717,"Mineral","1001-18076_t_tx1"
"1001-18076_t_tx1","mineral_MPLEx_03",29.9987779601963,"Mineral","1001-18076_t_tx1"
"tr|A0A420U8A8|A0A420U8A8_FUSOX;tr|A0A420RZ48|A0A420RZ48_FUSOX;tr|A0A420NCL5|A0A420NCL5_FUSOX;tr|A0A2H3T821|A0A2H3T821_FUSOX;1001-18080_t_tx1;tr|K3VN64|K3VN64_FUSPC;tr|I1S0G3|I1S0G3_GIBZE","no_mineral_MPLEx_01",22.1781458080242,"No Mineral","1001-18080_t_tx1"
"tr|A0A420U8A8|A0A420U8A8_FUSOX;tr|A0A420RZ48|A0A420RZ48_FUSOX;tr|A0A420NCL5|A0A420NCL5_FUSOX;tr|A0A2H3T821|A0A2H3T821_FUSOX;1001-18080_t_tx1;tr|K3VN64|K3VN64_FUSPC;tr|I1S0G3|I1S0G3_GIBZE","no_mineral_MPLEx_02",22.1393081148954,"No Mineral","1001-18080_t_tx1"
"tr|A0A420U8A8|A0A420U8A8_FUSOX;tr|A0A420RZ48|A0A420RZ48_FUSOX;tr|A0A420NCL5|A0A420NCL5_FUSOX;tr|A0A2H3T821|A0A2H3T821_FUSOX;1001-18080_t_tx1;tr|K3VN64|K3VN64_FUSPC;tr|I1S0G3|I1S0G3_GIBZE","no_mineral_MPLEx_03",23.7639983840345,"No Mineral","1001-18080_t_tx1"
"tr|A0A420U8A8|A0A420U8A8_FUSOX;tr|A0A420RZ48|A0A420RZ48_FUSOX;tr|A0A420NCL5|A0A420NCL5_FUSOX;tr|A0A2H3T821|A0A2H3T821_FUSOX;1001-18080_t_tx1;tr|K3VN64|K3VN64_FUSPC;tr|I1S0G3|I1S0G3_GIBZE","mineral_MPLEx_01",NA,"Mineral","1001-18080_t_tx1"
"tr|A0A420U8A8|A0A420U8A8_FUSOX;tr|A0A420RZ48|A0A420RZ48_FUSOX;tr|A0A420NCL5|A0A420NCL5_FUSOX;tr|A0A2H3T821|A0A2H3T821_FUSOX;1001-18080_t_tx1;tr|K3VN64|K3VN64_FUSPC;tr|I1S0G3|I1S0G3_GIBZE","mineral_MPLEx_02",NA,"Mineral","1001-18080_t_tx1"
"tr|A0A420U8A8|A0A420U8A8_FUSOX;tr|A0A420RZ48|A0A420RZ48_FUSOX;tr|A0A420NCL5|A0A420NCL5_FUSOX;tr|A0A2H3T821|A0A2H3T821_FUSOX;1001-18080_t_tx1;tr|K3VN64|K3VN64_FUSPC;tr|I1S0G3|I1S0G3_GIBZE","mineral_MPLEx_03",23.9344423200381,"Mineral","1001-18080_t_tx1"
"1003-5950_t_tx1","no_mineral_MPLEx_01",25.6525766656169,"No Mineral","1003-5950_t_tx1"
"1003-5950_t_tx1","no_mineral_MPLEx_02",24.0080786197099,"No Mineral","1003-5950_t_tx1"
"1003-5950_t_tx1","no_mineral_MPLEx_03",25.4287803157776,"No Mineral","1003-5950_t_tx1"
"1003-5950_t_tx1","mineral_MPLEx_01",23.5262607301462,"Mineral","1003-5950_t_tx1"
"1003-5950_t_tx1","mineral_MPLEx_02",NA,"Mineral","1003-5950_t_tx1"
"1003-5950_t_tx1","mineral_MPLEx_03",23.4530033928159,"Mineral","1003-5950_t_tx1"
"1003-5952_t_tx1;tr|A0A2H3STK9|A0A2H3STK9_FUSOX;tr|I1RBT1|I1RBT1_GIBZE;tr|K3VC70|K3VC70_FUSPC","no_mineral_MPLEx_01",29.4387950327892,"No Mineral","1003-5952_t_tx1"
"1003-5952_t_tx1;tr|A0A2H3STK9|A0A2H3STK9_FUSOX;tr|I1RBT1|I1RBT1_GIBZE;tr|K3VC70|K3VC70_FUSPC","no_mineral_MPLEx_02",29.4477845146142,"No Mineral","1003-5952_t_tx1"
"1003-5952_t_tx1;tr|A0A2H3STK9|A0A2H3STK9_FUSOX;tr|I1RBT1|I1RBT1_GIBZE;tr|K3VC70|K3VC70_FUSPC","no_mineral_MPLEx_03",29.2381119104507,"No Mineral","1003-5952_t_tx1"
