"Majority.protein.IDs","no_mineral_MPLEx_01","no_mineral_MPLEx_02","no_mineral_MPLEx_03","mineral_MPLEx_01","mineral_MPLEx_02","mineral_MPLEx_03"
"1001-18076_t_tx1",28.5912412824475,28.7832290830297,29.0085756144443,28.8591145225345,29.5059818538717,29.9987779601963
"tr|A0A420U8A8|A0A420U8A8_FUSOX;tr|A0A420RZ48|A0A420RZ48_FUSOX;tr|A0A420NCL5|A0A420NCL5_FUSOX;tr|A0A2H3T821|A0A2H3T821_FUSOX;1001-18080_t_tx1;tr|K3VN64|K3VN64_FUSPC;tr|I1S0G3|I1S0G3_GIBZE",22.1781458080242,22.1393081148954,23.7639983840345,NA,NA,23.9344423200381
"1003-5950_t_tx1",25.6525766656169,24.0080786197099,25.4287803157776,23.5262607301462,NA,23.4530033928159
"1003-5952_t_tx1;tr|A0A2H3STK9|A0A2H3STK9_FUSOX;tr|I1RBT1|I1RBT1_GIBZE;tr|K3VC70|K3VC70_FUSPC",29.4387950327892,29.4477845146142,29.2381119104507,28.7465338868176,28.4367737222894,29.3204370513742
"1003-5955_t_tx1;tr|A0A420TUR6|A0A420TUR6_FUSOX;tr|A0A420MXX7|A0A420MXX7_FUSOX;tr|A0A2H3T4Z4|A0A2H3T4Z4_FUSOX;tr|K3VBP3|K3VBP3_FUSPC;tr|A0A1C3YHU3|A0A1C3YHU3_GIBZE",23.8396055077106,26.336510433878,23.3323045470726,26.9239576929204,26.169758657566,24.5174500437293
"1005-10353_t_tx1;tr|A0A420U9P1|A0A420U9P1_FUSOX;tr|A0A2H3T8J1|A0A2H3T8J1_FUSOX;tr|A0A420NHY2|A0A420NHY2_FUSOX",29.3548060851939,29.0288253022752,29.1080507857142,27.6712093348605,26.8754607061708,28.3270288158843
"1005-1583_t_tx1",27.6951075011224,28.3858268321291,27.4389230483476,26.3344927593587,25.5963165542009,26.7580012888591
"1005-1584_t_tx1;tr|A0A420T723|A0A420T723_FUSOX;tr|A0A2H3T4M8|A0A2H3T4M8_FUSOX",28.0261454909976,27.4648270170615,28.5130071353779,26.1046768400514,26.3455235177503,27.5011329492729
"1008-4259_t_tx1;tr|A0A420SVM1|A0A420SVM1_FUSOX;tr|A0A2H3TE45|A0A2H3TE45_FUSOX;tr|A0A420NYL9|A0A420NYL9_FUSOX;tr|A0A420QKL3|A0A420QKL3_FUSOX;tr|A0A420RLK9|A0A420RLK9_FUSOX;tr|K3VV78|K3VV78_FUSPC;tr|A0A1C3YKX4|A0A1C3YKX4_GIBZE",25.8895995128445,27.6449026579389,23.9502989037707,28.1620812346978,27.3164101222581,25.8215941990695
"1009-1228_t_tx1;tr|A0A420QL94|A0A420QL94_FUSOX;tr|A0A2H3TQY5|A0A2H3TQY5_FUSOX;tr|K3UI59|K3UI59_FUSPC;tr|A0A1C3YMK1|A0A1C3YMK1_GIBZE",27.70641371926,28.1393809903455,27.4090926435269,28.3090288715112,28.4201931435643,28.194414667237
