"Majority.protein.IDs","Protein.IDs","Peptide.counts..unique.","NObs_NoMineral","NObs_Mineral","Mean_NoMineral","Mean_Mineral","pvalue_Gtest_MvsNoM","pvalue_ANOVA_MvsNoM","Log2FC_MvsNoM","Flag_0.05_ANOVA_MvsNoM","Flag_0.05_Gtest_MvsNoM","Neg_Log10_pvalue"
"1001-18076_t_tx1","1001-18076_t_tx1;tr|A0A420U833|A0A420U833_FUSOX;tr|A0A420RZW9|A0A420RZW9_FUSOX;tr|A0A420NCQ3|A0A420NCQ3_FUSOX;tr|A0A2H3SRS1|A0A2H3SRS1_FUSOX;tr|K3VMB4|K3VMB4_FUSPC;tr|A0A1C3YJ46|A0A1C3YJ46_GIBZE","36;16;16;16;15;8;8",3,3,28.7943486599738,29.4546247788675,1,0.13338848735141,0.660276118893638,0,0,0.874881652394852
"1003-5950_t_tx1","1003-5950_t_tx1;tr|A0A2H3SX04|A0A2H3SX04_FUSOX;tr|K3VBN7|K3VBN7_FUSPC;tr|I1RBT3|I1RBT3_GIBZE","6;2;1;1",3,2,25.0298118670348,23.4896320614811,0.2076622768584,0.103567693773409,-1.54017980555375,0,0,0.98477569443625
"1003-5952_t_tx1;tr|A0A2H3STK9|A0A2H3STK9_FUSOX;tr|I1RBT1|I1RBT1_GIBZE;tr|K3VC70|K3VC70_FUSPC","1003-5952_t_tx1;tr|A0A2H3STK9|A0A2H3STK9_FUSOX;tr|I1RBT1|I1RBT1_GIBZE;tr|K3VC70|K3VC70_FUSPC;REV__tr|K3VZH6|K3VZH6_FUSPC;REV__tr|I1S132|I1S132_GIBZE","12;11;8;8;1;1",3,3,29.374897152618,28.8345815534937,1,0.113765982220011,-0.540315599124305,0,0,0.943987579265224
"1003-5955_t_tx1;tr|A0A420TUR6|A0A420TUR6_FUSOX;tr|A0A420MXX7|A0A420MXX7_FUSOX;tr|A0A2H3T4Z4|A0A2H3T4Z4_FUSOX;tr|K3VBP3|K3VBP3_FUSPC;tr|A0A1C3YHU3|A0A1C3YHU3_GIBZE","1003-5955_t_tx1;tr|A0A420TUR6|A0A420TUR6_FUSOX;tr|A0A420MXX7|A0A420MXX7_FUSOX;tr|A0A2H3T4Z4|A0A2H3T4Z4_FUSOX;tr|K3VBP3|K3VBP3_FUSPC;tr|A0A1C3YHU3|A0A1C3YHU3_GIBZE","11;8;8;8;6;6",3,3,24.5028068295537,25.8703887980719,1,0.307081058795491,1.36758196851818,0,0,0.51274697064352
"1005-10353_t_tx1;tr|A0A420U9P1|A0A420U9P1_FUSOX;tr|A0A2H3T8J1|A0A2H3T8J1_FUSOX;tr|A0A420NHY2|A0A420NHY2_FUSOX","1005-10353_t_tx1;tr|A0A420U9P1|A0A420U9P1_FUSOX;tr|A0A2H3T8J1|A0A2H3T8J1_FUSOX;tr|A0A420NHY2|A0A420NHY2_FUSOX;tr|K3VSD5|K3VSD5_FUSPC;tr|I1S0Y1|I1S0Y1_GIBZE","22;15;15;14;5;5",3,3,29.1638940577278,27.6245662856386,1,0.0233449104989024,-1.53932777208922,-1,0,1.63180778675384
"1005-1583_t_tx1","1005-1583_t_tx1;tr|K3VSP1|K3VSP1_FUSPC;tr|I1RSC5|I1RSC5_GIBZE;tr|A0A420Q801|A0A420Q801_FUSOX;tr|A0A2H3T4K7|A0A2H3T4K7_FUSOX","11;4;4;4;4",3,3,27.839952460533,26.2296035341395,1,0.021865881202111,-1.61034892639347,-1,0,1.66023301575783
"1005-1584_t_tx1;tr|A0A420T723|A0A420T723_FUSOX;tr|A0A2H3T4M8|A0A2H3T4M8_FUSOX","1005-1584_t_tx1;tr|A0A420T723|A0A420T723_FUSOX;tr|A0A2H3T4M8|A0A2H3T4M8_FUSOX;tr|K3VQ33|K3VQ33_FUSPC","11;4;4;0",3,3,28.0013265478123,26.6504444356915,1,0.0623354846115794,-1.35088211212084,0,0,1.20526465985991
"1008-4259_t_tx1;tr|A0A420SVM1|A0A420SVM1_FUSOX;tr|A0A2H3TE45|A0A2H3TE45_FUSOX;tr|A0A420NYL9|A0A420NYL9_FUSOX;tr|A0A420QKL3|A0A420QKL3_FUSOX;tr|A0A420RLK9|A0A420RLK9_FUSOX;tr|K3VV78|K3VV78_FUSPC;tr|A0A1C3YKX4|A0A1C3YKX4_GIBZE","1008-4259_t_tx1;tr|A0A420SVM1|A0A420SVM1_FUSOX;tr|A0A2H3TE45|A0A2H3TE45_FUSOX;tr|A0A420NYL9|A0A420NYL9_FUSOX;tr|A0A420QKL3|A0A420QKL3_FUSOX;tr|A0A420RLK9|A0A420RLK9_FUSOX;tr|K3VV78|K3VV78_FUSPC;tr|A0A1C3YKX4|A0A1C3YKX4_GIBZE","15;13;13;13;12;10;10;10",3,3,25.8282670248514,27.1000285186751,1,0.37247163236369,1.2717614938238,0,0,0.4289067977534
"1009-1228_t_tx1;tr|A0A420QL94|A0A420QL94_FUSOX;tr|A0A2H3TQY5|A0A2H3TQY5_FUSOX;tr|K3UI59|K3UI59_FUSPC;tr|A0A1C3YMK1|A0A1C3YMK1_GIBZE","1009-1228_t_tx1;tr|A0A420QL94|A0A420QL94_FUSOX;tr|A0A2H3TQY5|A0A2H3TQY5_FUSOX;tr|K3UI59|K3UI59_FUSPC;tr|A0A1C3YMK1|A0A1C3YMK1_GIBZE","29;24;24;16;16",3,3,27.7516291177108,28.3078788941042,1,0.0662200702824407,0.556249776393372,0,0,1.17901036264677
"1009-1231_t_tx1","1009-1231_t_tx1","8",3,3,26.1194500048516,28.5002980716165,1,0.146519492264993,2.38084806676481,0,0,0.834104594968549
